namaMK,deskripsiMK
Teknik Multimedia,"['multimedia', 'proses', 'multimedia', 'kembang', 'teknologi', 'multimedia', 'teknologi', 'mutakhir', 'replikasi', 'algoritma', 'teknologi', 'multimedia', 'ajar', 'teknologi', 'multimedia', 'teknologi', 'teori', 'kompresi', 'kode', 'gambar', 'citra', 'digital', 'kompresi', 'kode', 'gambar', 'citra', 'digital', 'standar', 'kompresi', 'gambar', 'citra', 'digital', 'standar', 'kompresi', 'gambar', 'citra', 'digital', 'ukur', 'kualitas', 'gambar', 'citra', 'video', 'ukur', 'kualitas', 'gambar', 'citra', 'video', 'olah', 'video', 'analog', 'olah', 'video', 'analog', 'olah', 'video', 'digital', 'olah', 'video', 'digital', 'standar', 'format', 'video', 'digital', 'standar', 'format', 'video', 'digital', 'olah', 'video', 'digital', 'aplikasi', 'olah', 'video', 'digital', 'aplikasi', 'rancang', 'sistem', 'kompresi', 'kode', 'citra', 'digital', 'rancang', 'ukur', 'kualitas', 'gambar', 'citra', 'video', 'rancang', 'sistem', 'olah', 'video', 'digital', 'rancang', 'sistem', 'estimasi', 'gerak', 'video']"
Jaminan Mutu Perangkat Lunak,"['jamin', 'mutu', 'perangkat', 'lunak', 'jamin', 'kualitas', 'perangkat', 'lunak', 'proses', 'uji', 'fungsi', 'ajar', 'uji', 'kualitas', 'fungsi', 'perangkat', 'lunak', 'instalasi', 'ajar', 'uji', 'perangkat', 'lunak', 'uji', 'jamin', 'kualitas', 'perangkat', 'lunak', 'rancang', 'praktik', 'uji', 'perangkat', 'lunak', 'jamin', 'mutu', 'perangkat', 'lunak', 'uji', 'kualitas', 'perangkat', 'lunak', 'instalasi', 'uji', 'perangkat', 'lunak', 'uji', 'jamin', 'kualitas', 'perangkat', 'lunak', 'rancang', 'jamin', 'kualitas', 'perangkat', 'lunak', 'jamin', 'kualitas', 'perangkat', 'lunak', 'faktor', 'uji', 'kualitas', 'perangkat', 'lunak', 'komponen', 'jamin', 'kualitas', 'perangkat', 'lunak', 'komponen', 'kualitas', 'perangkat', 'lunak', 'proyek', 'rancang', 'rencana', 'manajemen', 'kualitas', 'perangkat', 'lunak', 'komponen', 'proyek', 'siklus', 'proyek', 'perangkat', 'lunak', 'komponen', 'infrastruktur', 'manajemen', 'uji', 'fungsi', 'perangkat', 'lunak', 'jamin', 'kualitas', 'perangkat', 'lunak', 'siklus', 'proyek', 'uji', 'fungsi', 'perangkat', 'lunak', 'kualitas', 'perangkat', 'lunak', 'infrastruktur', 'kualitas', 'perangkat', 'lunak', 'kualitas', 'perangkat', 'manajemen', 'kualitas', 'perangkat', 'lunak', 'matrik', 'ukur', 'kualitas', 'perangkat', 'lunak', 'peluang', 'tantang', 'jamin', 'kualitas', 'perangkat', 'lunak']"
Business Intelligence,"['bisnis', 'cerdas', 'cerdas', 'bisnis', 'cerdas', 'cerdas', 'rancang', 'cerdas', 'tambang', 'data', 'bisnis', 'cerdas', 'bisnis', 'sistem', 'dukung', 'keputusan', 'cerdas', 'bisnis', 'komponen', 'cerdas', 'cerdas', 'tambang', 'data', 'cerdas', 'cerdas', 'tambang', 'data', 'cerdas', 'bisnis', 'teknologi', 'gudang', 'data', 'cerdas', 'bisnis', 'metode', 'cerdas', 'cerdas', 'tambang', 'data', 'cerdas', 'bisnis', 'pustaka', 'antarmuka', 'program', 'aplikasi', 'rancang', 'kembang', 'cerdas', 'bisnis', 'cerdas', 'bisnis', 'cerdas', 'tambang', 'data']"
Cyber Security,"['siber', 'aman', 'aman', 'siber', 'aman', 'siber', 'unit', 'ancam', 'maya', 'tahan', 'aman', 'risiko', 'aman', 'aman', 'siber', 'perilaku', 'manusia', 'kriptografi', 'hash', 'kesah', 'autentik', 'perangkat', 'lunak', 'bahaya', 'forensik', 'digital', 'aman', 'jaringan', 'aman', 'siber', 'unit', 'ancam', 'maya', 'tahan', 'aman', 'risiko', 'aman', 'aman', 'siber', 'perilaku', 'manusia', 'kriptografi', 'hash', 'kesah', 'autentikasi', 'perangkat', 'lunak', 'bahaya', 'forensik', 'digital', 'aman', 'jaringan', 'aman', 'siber', 'ancam', 'maya', 'tahan', 'risiko', 'aman', 'aman', 'siber', 'perilaku', 'manusia', 'kriptografi', 'hash', 'kesah', 'autentik', 'perangkat', 'lunak', 'bahaya', 'forensik', 'digital', 'aman', 'jaringan', 'ancam', 'siber', 'sistem', 'tahan', 'perilaku', 'manusia', 'sistem', 'aman', 'siber', 'sistem', 'aman', 'serang', 'siber', 'aman', 'koneksi', 'infrastruktur', 'siber']"
Kapita Selekta Ilmu Komputer,"['kapita', 'selekta', 'komputer', 'deteksi', 'rumor', 'kumpul', 'data', 'rancang', 'set', 'data', 'proses', 'teks', 'ekstraksi', 'fitur', 'fitur', 'rumor', 'deteksi', 'rumor', 'deteksi', 'rumor', 'salah', 'rancang', 'komputer', 'teori', 'riset', 'riset', 'rumor', 'sebar', 'rumor', 'medium', 'sosial', 'deteksi', 'rumor', 'medium', 'sosial', 'tambang', 'data', 'data', 'tambang', 'medium', 'sosial', 'rancang', 'set', 'data', 'kumpul', 'data', 'rancang', 'set', 'data', 'fitur', 'deteksi', 'rumor', 'fitur', 'ekstraksi', 'fitur', 'fitur', 'deteksi', 'rumor', 'proses', 'teks', 'analisis', 'teks', 'proses', 'teks', 'metode', 'metode', 'area', 'riset', 'deteksi', 'rumor', 'deteksi', 'rumor']"
Manajemen Proyek,"['manajemen', 'proyek', 'manajemen', 'proyek', 'teknologi', 'informasi', 'ajar', 'manajemen', 'proyek', 'manajemen', 'proyek', 'teknologi', 'informasi', 'proyek', 'manajemen', 'proyek', 'manajemen', 'proyek', 'manajemen', 'proyek', 'teknologi', 'informasi', 'manajemen', 'sistem', 'proses', 'rancang', 'proyek', 'perangkat', 'lunak', 'proses', 'manajer', 'proyek', 'proyek', 'teknologi', 'informasi', 'rancang', 'salah', 'perangkat', 'lunak', 'proyek', 'perangkat', 'lunak', 'tutup', 'proyek', 'analisis', 'proses', 'proyek', 'proyek', 'proyek', 'rencana', 'proyek', 'perangkat', 'lunak', 'rencana', 'rencana', 'biaya', 'proyek', 'perangkat', 'lunak', 'dana', 'rencana', 'rencana', 'kualitas', 'proyek', 'perangkat', 'lunak', 'rencana', 'tim', 'proyek', 'proyek', 'perangkat', 'lunak', 'rencana', 'proses', 'proyek', 'risiko', 'rancang', 'proyek', 'teknologi', 'informasi', 'rencana', 'barang', 'servis', 'dukung', 'proyek', 'rencana', 'proyek', 'perangkat', 'lunak']"
Natural Language Processing,"['alami', 'bahasa', 'olah', 'olah', 'bahasa', 'alami', 'olah', 'proses', 'data', 'teks', 'morfologi', 'finite', 'state', 'jarak', 'edit', 'minimal', 'bahasa', 'klasifikasi', 'teks', 'analisis', 'sentimen', 'tata', 'bahasa', 'bebas', 'konteks', 'teknologi', 'proses', 'bahasa', 'alami', 'alami', 'bahasa', 'olah', 'teknologi', 'olah', 'bahasa', 'alami', 'teknologi', 'olah', 'proses', 'teks', 'morfologi', 'finite', 'state', 'teknologi', 'jarak', 'edit', 'minimal', 'teknologi', 'bahasa', 'teknologi', 'klasifikasi', 'teks', 'teknologi', 'analisis', 'sentimen', 'tata', 'bahasa', 'bebas', 'konteks', 'kerja', 'mutakhir', 'olah', 'bahasa', 'alami', 'alami', 'bahasa', 'olah', 'linguistik', 'komputasi', 'olah', 'bahasa', 'alami', 'olah', 'bahasa', 'alami', 'olah', 'teks', 'bahasa', 'rancang', 'teks', 'analisis', 'sentimen', 'rancang', 'representasi', 'linguistik', 'representasi', 'morfologi', 'sintaksis', 'semantik', 'riset', 'komunitas', 'olah', 'bahasa', 'alami', 'linguistik', 'komputasi', 'olah', 'bahasa', 'alami', 'kuasa', 'olah', 'naskah', 'bahasa', 'manusia']"
Pengamanan Data Multimedia,"['aman', 'data', 'multimedia', 'aman', 'data', 'multimedia', 'proses', 'aman', 'konten', 'multimedia', 'konten', 'multimedia', 'medium', 'simpan', 'pesan', 'hak', 'kriptografi', 'steganografi', 'sembunyi', 'data', 'digital', 'tangan', 'digital', 'multimedia', 'aman', 'multimedia', 'multimedia', 'aman', 'komputer', 'aman', 'multimedia', 'aman', 'multimedia', 'kriptografi', 'steganografi', 'sembunyi', 'data', 'digital', 'kriptografi', 'medium', 'algoritma', 'kriptografi', 'klasik', 'modern', 'multimedia', 'steganografi', 'sembunyi', 'data', 'medium', 'teks', 'gambar', 'audio', 'steganografi', 'sembunyi', 'data', 'medium', 'teks', 'gambar', 'audio', 'rancang', 'sistem', 'aman', 'data', 'multimedia', 'teks', 'gambar', 'audio', 'ide', 'rancang', 'tinjau', 'tinjau', 'aman', 'data', 'gambar', 'digital', 'gambar', 'sisip', 'digital', 'domain', 'spasial', 'autentikasi', 'citra', 'tangan', 'digital', 'autentikasi', 'citra', 'tangan', 'digital', 'domain', 'spasial', 'sisip', 'digital', 'gambar', 'frekuensi', 'spektrum', 'sebar', 'autentikasi', 'citra', 'tangan', 'digital', 'frekuensi', 'aplikasi', 'salah', 'algoritma', 'aman', 'data', 'data', 'teks', 'gambar', 'audio', 'presentasi', 'lapor', 'algoritma', 'aman', 'data']"
Pengujian Perangkat Lunak,"['uji', 'perangkat', 'lunak', 'uji', 'perangkat', 'lunak', 'analisis', 'uji', 'perangkat', 'lunak', 'metode', 'kualitas', 'perangkat', 'lunak', 'aman', 'kerja', 'kembang', 'uji', 'perangkat', 'lunak', 'rancang', 'perangkat', 'lunak', 'kualitas', 'metode', 'rancang', 'aplikasi', 'kualitas', 'rancang', 'uji', 'perangkat', 'lunak', 'uji', 'siklus', 'rancang', 'perangkat', 'lunak', 'fase', 'siklus', 'uji', 'analisis', 'uji', 'uji', 'rancang', 'uji', 'lingkungan', 'uji', 'eksekusi', 'uji', 'perangkat', 'lunak', 'metode', 'siklus', 'rancang', 'perangkat', 'lunak', 'matrik', 'penuh', 'syarat', 'proyek', 'siklus', 'rancang', 'siklus', 'uji', 'perangkat', 'lunak', 'estimasi', 'uji', 'perangkat', 'lunak', 'uji', 'kualitas', 'uji', 'uji', 'manual', 'uji', 'unit', 'uji', 'integrasi', 'sistem', 'uji', 'lapor', 'eror', 'uji', 'eror', 'eror', 'fungsi', 'eror', 'visual', 'eror', 'logika', 'eror', 'alur', 'kerja', 'eror', 'prioritas', 'eror']"
Software Process,"['perangkat', 'lunak', 'proses', 'proses', 'rekayasa', 'perangkat', 'lunak', 'proses', 'perangkat', 'lunak', 'siklus', 'perangkat', 'lunak', 'kualitas', 'proses', 'perangkat', 'lunak', 'ukur', 'perangkat', 'lunak', 'proses', 'rekayasa', 'perangkat', 'lunak', 'proses', 'perangkat', 'lunak', 'manajemen', 'proses', 'perangkat', 'lunak', 'infrastruktur', 'proses', 'perangkat', 'lunak', 'siklus', 'perangkat', 'lunak', 'kategori', 'proses', 'perangkat', 'lunak', 'siklus', 'perangkat', 'lunak', 'adaptasi', 'proses', 'perangkat', 'lunak', 'ukur', 'proses', 'perangkat', 'lunak', 'ukur', 'proses', 'perangkat', 'lunak', 'metode', 'ukur', 'proses', 'perangkat', 'lunak', 'proses', 'perangkat', 'lunak', 'metode', 'proses', 'perangkat', 'lunak', 'proses', 'perangkat', 'lunak', 'ukur', 'perangkat', 'lunak', 'ukur', 'proses', 'produk', 'perangkat', 'lunak', 'kualitas', 'ukur', 'informasi', 'perangkat', 'lunak', 'ukur', 'proses', 'perangkat', 'lunak', 'dukung', 'proses', 'perangkat', 'lunak', 'manajemen', 'proses', 'perangkat', 'lunak', 'individual', 'siklus', 'perangkat', 'lunak', 'edit', 'diagram', 'alur', 'data', 'diagram', 'status', 'diagram', 'kualitas', 'perangkat', 'lunak', 'evolusi', 'perangkat', 'lunak', 'jaga', 'perangkat', 'lunak', 'kualitas', 'perangkat', 'lunak']"
